categoria,confianca,fonte,metodo,requer_confirmacao,lat_ms,hitl,y_true,descricao,erro,y_pred
Despesas Diversas / Outros,1.0,llm,vetorial,False,22244.93819999043,False,Alimentação,Ifd*Arcos Dourados Com,,Despesas Diversas / Outros
Tecnologia,0.8910708241480854,vetorial,vetorial,False,33.209600020200014,False,Marketplace / E-commerce,EC *MELIMAIS,,Tecnologia
Beleza e Cuidados Pessoais,0.9999999162857108,vetorial,vetorial,False,32.34629996586591,False,Beleza e Cuidados Pessoais,HNA*O BOTICARIO,,Beleza e Cuidados Pessoais
Transporte,0.9791870278568177,vetorial,vetorial,False,29.284400050528347,False,Transporte,UBER    UBER    TRIP,,Transporte
,,,,,11489.398599951528,False,Alimentação,SAPPORO RESTAURANTE,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=SAPPORO%20RESTAURANTE%20estabelecimento) > client error (Co,Despesas Diversas / Outros
Transporte,1.0,vetorial,vetorial,False,26.933900080621243,False,Transporte,Uber* Trip,,Transporte
Transporte,1.0,vetorial,vetorial,False,24.898100062273443,False,Transporte,UBER* TRIP,,Transporte
Alimentação,0.9231107364659668,vetorial,vetorial,False,26.818900019861758,False,Alimentação,IFD*54.001.769 RAFAEL,,Alimentação
,,,,,19448.303600074723,False,Lazer e Entretenimento,PARAMOUNT+,error sending request for url (https://search.yahoo.com/search;_ylt=uhifEkK28Bu2PAl_djTcM2W3;_ylu=AZyML7pygKM4W7_tW7e7VHioHI2wztAyXs7QfWLIeQWR2dU?p=Paramount%2B+servi%C3%A7o+de+streaming+estabelecimen,Despesas Diversas / Outros
,,,,,10217.65480004251,False,Alimentação,IFD*ARCOS DOURADOS COM,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=arcos%20dourados%20estabelecimento) > client error (Connect,Despesas Diversas / Outros
Alimentação,0.8742927764313928,vetorial,vetorial,False,24.60070000961423,False,Alimentação,Supermercado Veran Lj1,,Alimentação
,,,,,12939.28449996747,False,Transporte,SMART HOTEL EIRELI,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=SMART%20HOTEL%20EIRELI%20estabelecimento) > client error (C,Despesas Diversas / Outros
Transporte,1.0,vetorial,vetorial,False,28.373399982228875,False,Transporte,UBER* TRIP,,Transporte
Despesas Diversas / Outros,1.0,llm,vetorial,False,20814.317999989726,False,Lazer e Entretenimento,INGRESSE,,Despesas Diversas / Outros
Transporte,1.0,vetorial,vetorial,False,34.66909995768219,False,Transporte,UBER* TRIP,,Transporte
Saúde,0.9420004737831046,vetorial,vetorial,False,29.97849998064339,False,Saúde,Drogaria Sao Paulo - Parcela 2/2,,Saúde
Alimentação,0.960166669672143,vetorial,vetorial,False,33.7563999928534,False,Alimentação,SUPERMERCADO,,Alimentação
Marketplace / E-commerce,0.9487742854399022,vetorial,vetorial,False,33.627400058321655,False,Marketplace / E-commerce,AMAZONMKTPLC*RAQUENACO,,Marketplace / E-commerce
Transporte,0.9791870278568177,vetorial,vetorial,False,28.105100034736097,False,Transporte,UBER    UBER    TRIP,,Transporte
Despesas Diversas / Outros,0.95,llm,vetorial,False,27093.137599993497,False,Alimentação,Esquilos Acai,,Despesas Diversas / Outros
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,38.99050003383309,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
,,,,,9906.749799964018,False,Alimentação,Jose Hortifruti,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=Jose%20Hortifruti%20estabelecimento) > client error (Connec,Despesas Diversas / Outros
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,25.886100018396974,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Despesas Diversas / Outros,1.0,llm,vetorial,False,24139.16560006328,False,Lazer e Entretenimento,INGRESSE,,Despesas Diversas / Outros
Saúde,0.888934423289979,vetorial,vetorial,False,35.55059991776943,False,Saúde,Drogaria Sao Paulo,,Saúde
Marketplace / E-commerce,1.0,llm,vetorial,False,15585.888399975374,False,Marketplace / E-commerce,MERCADOLIVRE*5PRODUTO,,Marketplace / E-commerce
Transporte,0.9791870278568177,vetorial,vetorial,False,32.077500014565885,False,Transporte,UBER    UBER    TRIP,,Transporte
Saúde,0.9420004737831046,vetorial,vetorial,False,31.289299950003624,False,Saúde,Drogaria Sao Paulo - Parcela 2/2,,Saúde
Transporte,0.9791870278568177,vetorial,vetorial,False,29.259099974296987,False,Transporte,UBER    UBER    TRIP,,Transporte
Despesas Diversas / Outros,1.0,llm,vetorial,False,28890.065699932165,False,Lazer e Entretenimento,INGRESSE,,Despesas Diversas / Outros
Saúde,0.8729473868781801,vetorial,vetorial,False,34.333899966441095,False,Saúde,DROGALIS ITALO,,Saúde
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,35.0059000775218,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Despesas Diversas / Outros,0.95,llm,vetorial,False,26800.571199972183,False,Vestuário,PAYPAL      *BOSS LIFE,,Despesas Diversas / Outros
Despesas Diversas / Outros,0.95,llm,vetorial,False,30899.635099922307,False,Alimentação,Ifd*Simoes e Brandini,,Despesas Diversas / Outros
,,,,,10697.617400088347,False,Lazer e Entretenimento,INGRESSE,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=INGRESSE%20estabelecimento) > client error (Connect) > dns ,Despesas Diversas / Outros
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,26.331399916671216,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Marketplace / E-commerce,0.9950223982515863,vetorial,vetorial,False,26.44710009917617,False,Marketplace / E-commerce,MERCADOLIVRE MERCADOL,,Marketplace / E-commerce
Saúde,0.9420004737831046,vetorial,vetorial,False,26.204300113022327,False,Saúde,Drogaria Sao Paulo - Parcela 2/2,,Saúde
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,27.39349997136742,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Saúde,0.8729473868781801,vetorial,vetorial,False,26.007300009950995,False,Saúde,Drogalis Italo,,Saúde
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,27.508199913427234,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
,,,,,9421.813399996608,False,Marketplace / E-commerce,MERCPAG DILEXDISTRIBU,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=DILEXDISTRIBU%20estabelecimento) > client error (Connect) >,Despesas Diversas / Outros
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,26.83739992789924,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Alimentação,0.8709526821383419,vetorial,vetorial,False,25.950699928216636,False,Alimentação,BURGER KING PASSEIO SA,,Alimentação
Educação,1.0,llm,vetorial,False,17507.645300007425,False,Educação,UDEMY,,Educação
Despesas Diversas / Outros,1.0,llm,vetorial,False,9304.766099900007,False,Alimentação,SAPPORO RESTAURANTE,,Despesas Diversas / Outros
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,36.82509995996952,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
,,,,,14278.305000043474,False,Saúde,NEO MATRIX OTICA,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=NEO%20MATRIX%20OTICA%20estabelecimento%20ramo%20de%20ativid,Despesas Diversas / Outros
Saúde,0.888934423289979,vetorial,vetorial,False,27.668299968354404,False,Saúde,Drogaria Sao Paulo,,Saúde
Despesas Diversas / Outros,1.0,llm,vetorial,False,29163.34359999746,False,Saúde,NEO MATRIX OTICA,,Despesas Diversas / Outros
Marketplace / E-commerce,0.9950223982515863,vetorial,vetorial,False,38.32019993569702,False,Marketplace / E-commerce,MERCADOLIVRE MERCADOL,,Marketplace / E-commerce
Transporte,0.9791870278568177,vetorial,vetorial,False,32.661200035363436,False,Transporte,UBER    UBER    TRIP,,Transporte
,,,,,9996.692500077188,False,Saúde,DROGA ULTRA ITAQUA LT,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=DROGA%20ULTRA%20ITAQUA%20LT%20estabelecimento) > client err,Despesas Diversas / Outros
Saúde,0.8729473868781801,vetorial,vetorial,False,26.607800042256713,False,Saúde,DROGALIS ITALO,,Saúde
Despesas Diversas / Outros,0.98,llm,vetorial,False,25350.498800049536,False,Saúde,Drogaria Paulista Lj60,,Despesas Diversas / Outros
Marketplace / E-commerce,0.95,llm,vetorial,False,44098.707400029525,False,Lazer e Entretenimento,PAYPAL *NUUVEMJOGOS,,Marketplace / E-commerce
Despesas Diversas / Outros,0.95,llm,vetorial,False,9323.3911000425,False,Saúde,Drogaria Paulista Lj60,,Despesas Diversas / Outros
Despesas Diversas / Outros,1.0,llm,vetorial,False,26213.35520001594,False,Alimentação,Ifd*Arcos Dourados Com,,Despesas Diversas / Outros
,,,,,8900.561399990693,False,Alimentação,ZIG*ZIG*LAROC GUARUJA,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=LAROC%20GUARUJA%20estabelecimento) > client error (Connect),Despesas Diversas / Outros
Transporte,0.9182115762905811,vetorial,vetorial,False,34.93980003986508,False,Transporte,EMIRATES AIRAWP/NVDZ2S,,Transporte
Despesas Diversas / Outros,1.0,llm,vetorial,False,13136.376800015569,False,Alimentação,HOT POT RESTAURANT,,Despesas Diversas / Outros
Saúde,0.888934423289979,vetorial,vetorial,False,40.85049999412149,False,Saúde,Drogaria Sao Paulo,,Saúde
Despesas Diversas / Outros,0.95,llm,vetorial,False,31496.26739998348,False,Transporte,SMART HOTEL EIRELI,,Despesas Diversas / Outros
Lazer e Entretenimento,1.0,vetorial,vetorial,False,39.436800056137145,False,Lazer e Entretenimento,EBANX*SONYPLAYSTATN,,Lazer e Entretenimento
Saúde,0.888934423289979,vetorial,vetorial,False,35.16750002745539,False,Saúde,Drogaria Sao Paulo,,Saúde
Despesas Diversas / Outros,1.0,llm,vetorial,False,30936.914000078104,False,Alimentação,IFD*ARCOS DOURADOS COM,,Despesas Diversas / Outros
Marketplace / E-commerce,1.0,llm,vetorial,False,23075.563700054772,False,Lazer e Entretenimento,PAYPAL  NUUVEMJOGOS,,Marketplace / E-commerce
,,,,,10694.843200035393,False,Alimentação,JURERE S GRILL,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=JURERE%20S%20GRILL%20estabelecimento) > client error (Conne,Despesas Diversas / Outros
Saúde,0.95,llm,vetorial,False,24592.563100042753,False,Saúde,NEO MATRIX OTICA,,Saúde
Lazer e Entretenimento,0.9673855711782331,vetorial,vetorial,False,38.60620001796633,False,Lazer e Entretenimento,DM HELPHBOMAXCOM,,Lazer e Entretenimento
Tecnologia,0.8910708241480854,vetorial,vetorial,False,30.191299971193075,False,Marketplace / E-commerce,EC*MELIMAIS,,Tecnologia
Alimentação,0.8742927764313928,vetorial,vetorial,False,33.01290003582835,False,Alimentação,Supermercado Veran Lj1,,Alimentação
,,,,,11570.962600060739,False,Lazer e Entretenimento,INGRESSE,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=ingresse%20estabelecimento%20brasil) > client error (Connec,Despesas Diversas / Outros
Marketplace / E-commerce,0.8683781392950249,vetorial,vetorial,False,29.594200081191957,False,Marketplace / E-commerce,MERCADOPAGO *2PRODUTO,,Marketplace / E-commerce
Despesas Diversas / Outros,1.0,llm,vetorial,False,25276.62700007204,False,Lazer e Entretenimento,INGRESSE,,Despesas Diversas / Outros
,,,,,10061.28359993454,False,Lazer e Entretenimento,INGRESSE,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=INGRESSE%20estabelecimento) > client error (Connect) > dns ,Despesas Diversas / Outros
Despesas Diversas / Outros,1.0,humano,vetorial,True,33645.77480009757,True,Alimentação,IFD*JONATAS DA SILVA M,,Despesas Diversas / Outros
Despesas Diversas / Outros,0.95,llm,vetorial,False,12620.318600093015,False,Saúde,DROGA ULTRA ITAQUA LT,,Despesas Diversas / Outros
Marketplace / E-commerce,0.95,llm,vetorial,False,23638.763100025244,False,Lazer e Entretenimento,PAYPAL  NUUVEMJOGOS,,Marketplace / E-commerce
Despesas Diversas / Outros,1.0,humano,vetorial,True,38585.23820003029,True,Lazer e Entretenimento,SYMPLA*MATHEUS ROCHA C,,Despesas Diversas / Outros
Despesas Diversas / Outros,0.95,llm,vetorial,False,22892.886199988425,False,Alimentação,I9pay S*Supermercado T,,Despesas Diversas / Outros
Lazer e Entretenimento,1.0,vetorial,vetorial,False,43.048799969255924,False,Lazer e Entretenimento,EBANX*SONYPLAYSTATN,,Lazer e Entretenimento
Despesas Diversas / Outros,1.0,llm,vetorial,False,14935.964100062847,False,Alimentação,I9pay S*Supermercado T,,Despesas Diversas / Outros
Alimentação,0.960166669672143,vetorial,vetorial,False,38.81629998795688,False,Alimentação,SUPERMERCADO,,Alimentação
Saúde,0.9420004737831046,vetorial,vetorial,False,32.61650004424155,False,Saúde,Drogaria Sao Paulo - Parcela 2/2,,Saúde
Lazer e Entretenimento,0.9673855711782331,vetorial,vetorial,False,32.533999998122454,False,Lazer e Entretenimento,DM  HELPHBOMAXCOM,,Lazer e Entretenimento
,,,,,12464.846400078386,False,Alimentação,Ifd*Arcos Dourados Com,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=Arcos%20Dourados%20estabelecimento) > client error (Connect,Despesas Diversas / Outros
Saúde,0.888934423289979,vetorial,vetorial,False,27.225500089116395,False,Saúde,Drogaria Sao Paulo,,Saúde
,,,,,12613.170900032856,False,Vestuário,EMPORIO FOR ALL,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=emporio%20for%20all%20estabelecimento) > client error (Conn,Despesas Diversas / Outros
Alimentação,0.960166669672143,vetorial,vetorial,False,29.697699937969446,False,Alimentação,Supermercado,,Alimentação
,,,,,8250.030299997889,False,Moradia,PAG ISABELGAS,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=ISABELGAS%20estabelecimento) > client error (Connect) > dns,Despesas Diversas / Outros
Lazer e Entretenimento,0.9673855711782331,vetorial,vetorial,False,25.600799941457808,False,Lazer e Entretenimento,DM      HELPHBOMAXCOM,,Lazer e Entretenimento
Alimentação,0.8742927764313928,vetorial,vetorial,False,25.45079996343702,False,Alimentação,Supermercado Veran Lj1,,Alimentação
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,25.69519996177405,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,25.683299987576902,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Alimentação,0.8742927764313928,vetorial,vetorial,False,27.271499973721802,False,Alimentação,Supermercado Veran Lj1,,Alimentação
Lazer e Entretenimento,0.9063492542632987,vetorial,vetorial,False,26.343300007283688,False,Lazer e Entretenimento,DM     *HELPMAXCOM,,Lazer e Entretenimento
Marketplace / E-commerce,0.9487742854399022,vetorial,vetorial,False,30.00270004849881,False,Marketplace / E-commerce,AMAZONMKTPLC*RAQUENACO,,Marketplace / E-commerce
,,,,,11998.282099957578,False,Lazer e Entretenimento,PAYPAL  NUUVEMJOGOS,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=NUUVEMJOGOS%20estabelecimento) > client error (Connect) > d,Despesas Diversas / Outros
Transporte,0.9791870278568177,vetorial,vetorial,False,26.90910000819713,False,Transporte,UBER    UBER    TRIP,,Transporte
Despesas Diversas / Outros,1.0,llm,vetorial,False,14396.071500028484,False,Alimentação,PARTISANS PUB BAR,,Despesas Diversas / Outros
Alimentação,0.960166669672143,vetorial,vetorial,False,35.257100011222064,False,Alimentação,SUPERMERCADO,,Alimentação
,,,,,10453.040200052783,False,Despesas Diversas / Outros,DIVIPAYPAYMENTS,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=DIVIPAYPAYMENTS%20estabelecimento%20pagamento) > client err,Despesas Diversas / Outros
Alimentação,0.9231107364659668,vetorial,vetorial,False,26.00800001528114,False,Alimentação,IFD*54.001.769 RAFAEL,,Alimentação
Alimentação,0.9035610991743038,vetorial,vetorial,False,26.32509998511523,False,Alimentação,IFD*50.842.325 VANESSA,,Alimentação
Despesas Diversas / Outros,1.0,llm,vetorial,False,12006.785100093111,False,Saúde,Drogaria Paulista Lj60,,Despesas Diversas / Outros
Alimentação,0.960166669672143,vetorial,vetorial,False,33.0093998927623,False,Alimentação,Supermercado,,Alimentação
Despesas Diversas / Outros,1.0,llm,vetorial,False,14795.772799989209,False,Alimentação,PARTISANS PUB BAR,,Despesas Diversas / Outros
,,,,,8389.69530002214,False,Tecnologia,"OPENROUTER, INC        NE",ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=OPENROUTER%2C%20INC%20estabelecimento) > client error (Conn,Despesas Diversas / Outros
Marketplace / E-commerce,0.9908250620625518,vetorial,vetorial,False,26.42290003132075,False,Marketplace / E-commerce,MERCADOLIVRE 3PRODUTOS,,Marketplace / E-commerce
Alimentação,0.8742927764313928,vetorial,vetorial,False,28.34149997215718,False,Alimentação,Supermercado Veran Lj1,,Alimentação
Transporte,0.9791870278568177,vetorial,vetorial,False,27.623599977232516,False,Transporte,UBER    UBER    TRIP,,Transporte
Lazer e Entretenimento,0.9288635714531256,vetorial,vetorial,False,31.694100005552173,False,Lazer e Entretenimento,EBN*PLAYSTATION,,Lazer e Entretenimento
Alimentação,0.9344291100012849,vetorial,vetorial,False,29.54619994852692,False,Alimentação,Supermercado Higa Irma,,Alimentação
Despesas Diversas / Outros,1.0,llm,vetorial,False,11645.034200046211,False,Moradia,PAG*TOTALGAS,,Despesas Diversas / Outros
Educação,1.0,llm,vetorial,False,30342.822199920192,False,Educação,UDEMY,,Educação
Transporte,0.9791870278568177,vetorial,vetorial,False,38.139899959787726,False,Transporte,UBER    UBER    TRIP,,Transporte
Saúde,0.888934423289979,vetorial,vetorial,False,33.14030007459223,False,Saúde,Drogaria Sao Paulo,,Saúde
Despesas Diversas / Outros,1.0,llm,vetorial,False,11990.61590002384,False,Saúde,Drogaria Paulista Lj60,,Despesas Diversas / Outros
Marketplace / E-commerce,1.0,llm,vetorial,False,10835.828599985689,False,Marketplace / E-commerce,MERCADOLIVRE*5PRODUTO,,Marketplace / E-commerce
Alimentação,0.960166669672143,vetorial,vetorial,False,37.71399997640401,False,Alimentação,Supermercado,,Alimentação
Despesas Diversas / Outros,0.9999999239423393,vetorial,vetorial,False,35.34860000945628,False,Beleza e Cuidados Pessoais,MP *RAFAEL,,Despesas Diversas / Outros
Despesas Diversas / Outros,0.95,llm,vetorial,False,23989.017799962312,False,Alimentação,Ifd*Arcos Dourados Com,,Despesas Diversas / Outros
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,40.6588000478223,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Despesas Diversas / Outros,0.95,llm,vetorial,False,26677.03770007938,False,Lazer e Entretenimento,PAYPAL *NUUVEMJOGOS,,Despesas Diversas / Outros
Alimentação,0.9209521110490757,vetorial,vetorial,False,42.6123000215739,False,Alimentação,Tom Tom Churros Cafe I,,Alimentação
Lazer e Entretenimento,1.0,vetorial,vetorial,False,34.172400017268956,False,Lazer e Entretenimento,EBANX*SONYPLAYSTATN,,Lazer e Entretenimento
Despesas Diversas / Outros,1.0,llm,vetorial,False,15825.777099933475,False,Alimentação,HOT POT RESTAURANT,,Despesas Diversas / Outros
,,,,,11045.646999962628,False,Lazer e Entretenimento,INGRESSE,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=ingresse%20estabelecimento%20brasil) > client error (Connec,Despesas Diversas / Outros
Despesas Diversas / Outros,1.0,llm,vetorial,False,16490.246000001207,False,Lazer e Entretenimento,Cinepolis Itaquaquecet,,Despesas Diversas / Outros
Despesas Diversas / Outros,0.98,llm,vetorial,False,11115.506500005722,False,Alimentação,IFD*NEW LUCK PIZZARIA,,Despesas Diversas / Outros
,,,,,12819.990599993616,False,Alimentação,Ifd*Arcos Dourados Com,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=Arcos%20Dourados%20estabelecimento) > client error (Connect,Despesas Diversas / Outros
Despesas Diversas / Outros,0.95,llm,vetorial,False,22735.06490001455,False,Alimentação,I9pay S*Supermercado T,,Despesas Diversas / Outros
Saúde,0.888934423289979,vetorial,vetorial,False,38.181299925781786,False,Saúde,Drogaria Sao Paulo,,Saúde
Transporte,0.9182115762905811,vetorial,vetorial,False,28.960100025869906,False,Transporte,EMIRATES AIRAWP/NVDZ2S,,Transporte
,,,,,13161.323999986053,False,Alimentação,BHBAREDANCETERIA,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=BHBAREDANCETERIA%20estabelecimento) > client error (Connect,Despesas Diversas / Outros
Lazer e Entretenimento,1.0,vetorial,vetorial,False,25.499299983493984,False,Lazer e Entretenimento,EBANX*SONYPLAYSTATN,,Lazer e Entretenimento
Alimentação,0.960166669672143,vetorial,vetorial,False,25.17069992609322,False,Alimentação,Supermercado,,Alimentação
Despesas Diversas / Outros,0.888686592264806,vetorial,vetorial,False,25.641100015491247,False,Despesas Diversas / Outros,ZP      QMS INTERNATI,,Despesas Diversas / Outros
Saúde,0.8729473868781801,vetorial,vetorial,False,25.731899891979992,False,Saúde,DROGALIS ITALO,,Saúde
Marketplace / E-commerce,0.9950223982515863,vetorial,vetorial,False,24.85980000346899,False,Marketplace / E-commerce,MERCADOLIVRE MERCADOL,,Marketplace / E-commerce
Despesas Diversas / Outros,1.0,llm,vetorial,False,36318.36989999283,False,Alimentação,IFD*ARCOS DOURADOS COM,,Despesas Diversas / Outros
Despesas Diversas / Outros,1.0,llm,vetorial,False,11805.953200091608,False,Saúde,Drogaria Paulista Lj60,,Despesas Diversas / Outros
Despesas Diversas / Outros,0.95,llm,vetorial,False,26118.015800020657,False,Tecnologia,"OPENROUTER, INC        NE",,Despesas Diversas / Outros
Lazer e Entretenimento,0.8884931933258121,vetorial,vetorial,False,41.75279999617487,False,Lazer e Entretenimento,PAG STEAM,,Lazer e Entretenimento
Saúde,0.95,llm,vetorial,False,24051.95230001118,False,Saúde,NEO MATRIX OTICA,,Saúde
Transporte,0.9791870278568177,vetorial,vetorial,False,34.8973999498412,False,Transporte,UBER    UBER    TRIP,,Transporte
Marketplace / E-commerce,0.9950223982515863,vetorial,vetorial,False,33.01020001526922,False,Marketplace / E-commerce,MERCADOLIVRE MERCADOL,,Marketplace / E-commerce
Educação,0.95,llm,vetorial,False,25990.71540008299,False,Despesas Diversas / Outros,GOOGLE NOJI STUDY WIT,,Educação
Marketplace / E-commerce,1.0,llm,vetorial,False,10967.707399977371,False,Marketplace / E-commerce,MERCADOLIVRE*5PRODUTO,,Marketplace / E-commerce
,,,,,19177.019199938513,False,Alimentação,IFD*ARCOS DOURADOS COM,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=Arcos%20Dourados%20estabelecimento) > client error (Connect,Despesas Diversas / Outros
,,,,,14043.552899966016,False,Alimentação,IFD*ARCOS DOURADOS COM,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=arcos%20dourados%20estabelecimento%20ramo%20de%20atividade),Despesas Diversas / Outros
Marketplace / E-commerce,0.95,llm,vetorial,False,25777.896400075406,False,Lazer e Entretenimento,PAYPAL  NUUVEMJOGOS,,Marketplace / E-commerce
Marketplace / E-commerce,0.9950223982515863,vetorial,vetorial,False,41.165499947965145,False,Marketplace / E-commerce,MERCADOLIVRE MERCADOL,,Marketplace / E-commerce
Lazer e Entretenimento,0.9063492542632987,vetorial,vetorial,False,43.547699926421046,False,Lazer e Entretenimento,DM     *HELPMAXCOM,,Lazer e Entretenimento
Saúde,0.888934423289979,vetorial,vetorial,False,31.732700066640973,False,Saúde,Drogaria Sao Paulo,,Saúde
,,,,,12645.13119996991,False,Alimentação,Ifd*Arcos Dourados Com,ConnectError: ConnectError('error sending request for url (https://wt.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=Arcos%20Dourados%20estabelecimento) > client error (Connect,Despesas Diversas / Outros
Despesas Diversas / Outros,1.0,llm,vetorial,False,23585.742100025527,False,Lazer e Entretenimento,INGRESSE,,Despesas Diversas / Outros
