"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Probabilistic Approach for Correction of Optically-Character-Recognized Strings Using Suffix Tree","R. Jain; S. Chaudhury","Department of EE, IIT Delhi, India; Department of EE, IIT Delhi, India","2011 Third National Conference on Computer Vision, Pattern Recognition, Image Processing and Graphics","19 Jan 2012","2011","","","74","77","In this paper we present an approach for correcting character recognition errors of an OCR which can recognise Indic Scripts. Suffix tree is used to index the lexicon in lexicographical order to facilitate the probabilistic search. To obtain the best probable match against the mis-recognised string, it is compared with the sub-strings (edges of suffix tree) using similarity measure as weighted Levenshtein distance, where Confusion probabilities of characters (Unicodes) are used as substitution cost, until it exceeds the specified cost k. Retrieved candidates are sorted and selected on the basis of their lowest edit cost. Exploiting this information, the system can correct non-word errors and achieves maximum error rate reduction of 33% over simple character recognition system.","","978-1-4577-2102-1","10.1109/NCVPRIPG.2011.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6133004","suffix tree;probabilistic error correction;OCR error correction;document;weighted levenshtein edit distance","Optical character recognition software;Probabilistic logic;Error correction;Accuracy;Character recognition;Dictionaries;Training","","","2","10","IEEE","19 Jan 2012","15-17 Dec. 2011","15-17 Dec. 2011","IEEE","IEEE Conferences"
"Character-Level LSTM Encoder–Decoder with Luong Attention for Post-OCR Correction of Malayalam Palm-Leaf Manuscripts","P. Parimi; M. K. Pasumarthi; N. N; R. Sivan; P. B. Pati","Department of Computer Science & Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science & Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science & Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science & Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India; Department of Computer Science & Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bengaluru, India",2026 6th International Conference on Intelligent Technologies (CONIT),"28 Jul 2026","2026","","","1","6","Digitization of historic palm leaf Malayalam manuscripts using Optical Character Recognition frequently produces character-level errors due to degraded manuscript quality, visually similar glyphs, stacked diacritics, and complex ligature structures. These distortions significantly reduce the usability of digitized archives for searching, indexing, linguistic analysis and digital preservation. This work proposes a character-level sequence-to-sequence post-OCR correction system that maps noisy Malayalam OCR outputs directly to clean text using an LSTM encoder-decoder architecture with Luong attention. The model is trained using a confusion-driven augmentation strategy derived from real OCR alignment statistics to simulate realistic manuscript distortions while preserving linguistic plausibility. The specialty of the proposed system lies in learning script-specific confusion patterns directly from historic OCR outputs and integrating them into a lightweight, deployable correction architecture suitable for low-resource settings. Upon evaluation, the LSTM+Luong attention model achieves an Corpus Character Error Rate (CER) of 0.15, with 89.2% of test samples below a CER of 0.25 and all samples below 0.50, demonstrating strong robustness for historic manuscript correction.","","979-8-3195-1858-3","10.1109/CONIT69683.2026.11620636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11620636","LSTM;Luong Attention;Confusion-driven augmentation;Malayalam Error Correction;Post-OCR Processing;Heritage digitization;Culture preservation","Modeling;Optical character recognition;Training;Sequences;Sequential analysis;Long short term memory;Printing;Conferences;Decoding;Error correction","","","","24","IEEE","28 Jul 2026","19-21 June 2026","19-21 June 2026","IEEE","IEEE Conferences"
"Frances++: LLM-Based Semantic Enrichment and Spatial Graphs for Digitized Historical Collections","L. Yu; R. Filgueira","EPCC, University of Edinburgh, Edinburgh, UK; EPCC, University of Edinburgh, Edinburgh, UK",2025 IEEE International Conference on eScience (eScience),"7 Oct 2025","2025","","","269","277","This paper presents major enhancements to frances, a platform for exploring digitized historical collections using LLM-based semantic and spatial enrichments. We focus on three corpora from the National Library of Scotland (NLS): the Gazetteers of Scotland, the Broadsides, and the Encyclopaedia Britannica. Using a flexible, prompt-based LLM pipeline, we extract over 50,000 structured articles from the Gazetteers, adapting to diverse typographic layouts. For Broadsides, we align OCR-derived text (extracted using defoe) with manually corrected transcriptions published by NLS, linking both sources for improved access and reuse. Historical text is further improved using a fine-tuned Llama2 model selected after evaluating several LLMs for post-OCR correction. To enrich geographic information, we combine Stanza NER, in-text coordinate parsing, and the Edinburgh Geoparser, enabling both modern georesolution and preservation of historical geography. We extend the Heritage Textual Ontology (HTO) to support article-level records, spatiotemporal entities, and in-text annotations via CRMgeo and Web Annotation standards. Resulting RDF knowledge graphs are deployed on a GeoSPARQL-enabled Fuseki server and indexed in Elasticsearch to support full-text, semantic, and spatial search. The upgraded frances interface offers entity highlighting, historical maps, and provenance tracking, demonstrating a scalable pipeline for structured, enriched access to OCRed heritage texts.","2325-3703","979-8-3315-9145-8","10.1109/eScience65000.2025.00039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181535","Large Language Models;Historical Text Processing;OCR Correction;Named Entity Recognition;Heritage Ontologies;Knowledge Graphs;Geoparsing;GeoSPARQL;Spatiotemporal Data;Semantic Web","Annotations;Semantics;Pipelines;Knowledge graphs;Ontologies;Resource description framework;Spatiotemporal phenomena;Servers;Standards;Text processing","","1","","34","IEEE","7 Oct 2025","15-18 Sept. 2025","15-18 Sept. 2025","IEEE","IEEE Conferences"
"OCR Error Correction Using Character Correction and Feature-Based Word Classification","I. Kissos; N. Dershowitz","School of Computer Science, Tel Aviv University Ramat Aviv, Israel; School of Computer Science, Israel Institut d’ etudes avancees de Paris, Paris, France",2016 12th IAPR Workshop on Document Analysis Systems (DAS),"13 Jun 2016","2016","","","198","203","This paper explores the use of a learned classifier for post-OCR text correction. Experiments with the Arabic language show that this approach, which integrates a weighted confusion matrix and a shallow language model, improves the vast majority of segmentation and recognition errors, the most frequent types of error on our dataset.","","978-1-5090-1792-8","10.1109/DAS.2016.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7490117","Classifier;information retrieval;OCR;spelling correction","Optical character recognition software;Feature extraction;Dictionaries;Error correction;Image segmentation;Engines;Character recognition","","54","1","8","IEEE","13 Jun 2016","11-14 April 2016","11-14 April 2016","IEEE","IEEE Conferences"
"ICDAR2017 Competition on Post-OCR Text Correction","G. Chiron; A. Doucet; M. Coustaty; J. -P. Moreux","National Library of France, Paris, France; L3i Lab, University of la Rochelle, La Rochelle, France; L3i Lab, University of la Rochelle, La Rochelle, France; National Library of France, Paris, France",2017 14th IAPR International Conference on Document Analysis and Recognition (ICDAR),"29 Jan 2018","2017","01","","1423","1428","This paper describes the ICDAR2017 competition on post-OCR text correction and presents the different methods submitted by the participants. OCR has been an active research field for over the past 30 years but results are still imperfect, especially for historical documents. The purpose of this competition is to compare and evaluate automatic approaches for correcting (denoising) OCR-ed texts. The challenge consists of two independent tasks: 1) error detection and 2) error correction. An original dataset of 12M OCR-ed symbols along with an aligned ground truth was provided to the participants with 80% of the dataset dedicated to the training and 20% to the evaluation. Different sources were aggregated and namely contain newspapers and monographs covering 2 languages (English and French). 11 teams submitted results, while the difficulty of the task was underlined by the fact that only half of the submitted methods were able to denoise the evaluation dataset on average. In any case, this competition, which counted 35 registrations, illustrates the strong interest of the community in this essential problem, which is key to any digitization process involving textual data.","2379-2140","978-1-5386-3586-5","10.1109/ICDAR.2017.232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8270163","Competition;Post-OCR;Text Correction","Optical character recognition software;Task analysis;Training;Libraries;Measurement;Text analysis;Error correction","","36","","14","IEEE","29 Jan 2018","9-15 Nov. 2017","9-15 Nov. 2017","IEEE","IEEE Conferences"
"An Efficient Unsupervised Approach for OCR Error Correction of Vietnamese OCR Text","Q. -D. Nguyen; N. -M. Phan; P. Krömer; D. -A. Le","Faculty of Mechanical-Electrical and Computer Engineering, School of Technology, Van Lang University, Ho Chi Minh City, Vietnam; Faculty of Information Technology, Saigon University, Chi Minh City, Vietnam; Department of Computer Science, VSB--Technical University of Ostrava, Ostrava, Czech Republic; The Institute of Statistical Mathematics, Tokyo, Japan",IEEE Access,"15 Jun 2023","2023","11","","58406","58421","Different types of OCR errors often occur in OCR texts due to the low quality of scanned document images or limitations in OCR software. In this paper, we propose a novel unsupervised approach for OCR error correction. Correction candidates for OCR errors are generated and explored in their neighborhoods using correction character edits controlled by an adapted hill-climbing algorithm. Correction characters are extracted from only original ground truth texts, which do not depend on OCR texts in training data. A weighted objective function used to score and rank correction candidates is heuristically tested to find optimal weight combinations. The proposed model is evaluated on an OCR text dataset originating from the Vietnamese handwritten database in the ICFHR 2018 Vietnamese online handwritten text recognition competition. The proposed model is also verified concerning its stability and complexity. The experimental results show that our model achieves competitive performance compared to the other models in the ICFHR 2018 competition.","2169-3536","","10.1109/ACCESS.2023.3283340","Van Lang University, Vietnam; European Regional Development Fund within the Operational Program Research, Development and Education in Projects, “A Research Platform focused on Industry 4.0 and Robotics in Ostrava Agglomeration”(grant numbers:CZ.02.1.01/0.0/0.0/17_049/0008425); VSB–TU Ostrava, Czech Republic, through the Student Grant System (SGS)(grant numbers:SP2023/12,SP2023/76); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10144767","OCR;character edit;error correction;attention-based encoder-decoder;hill climbing","Optical character recognition;Error correction;Computational modeling;Adaptation models;Optimization;Linguistics;Training data;Encoding","","25","","54","CCBYNCND","6 Jun 2023","2023","","IEEE","IEEE Journals"
"Deep Statistical Analysis of OCR Errors for Effective Post-OCR Processing","T. -T. -H. Nguyen; A. Jatowt; M. Coustaty; N. -V. Nguyen; A. Doucet","L3i, University of La Rochelle, La Rochelle, France; Graduate School of Informatics, Kyoto University, Kyoto, Japan; L3i, University of La Rochelle, La Rochelle, France; L3i, University of La Rochelle, La Rochelle, France; L3i, University of La Rochelle, La Rochelle, France",2019 ACM/IEEE Joint Conference on Digital Libraries (JCDL),"8 Aug 2019","2019","","","29","38","Post-OCR is an important processing step that follows optical character recognition (OCR) and is meant to improve the quality of OCR documents by detecting and correcting residual errors. This paper describes the results of a statistical analysis of OCR errors on four document collections. Five aspects related to general OCR errors are studied and compared with human-generated misspellings, including edit operations, length effects, erroneous character positions, real-word vs. non-word errors, and word boundaries. Based on the observations from the analysis we give several suggestions related to the design and implementation of effective OCR post-processing approaches.","","978-1-7281-1547-4","10.1109/JCDL.2019.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8791206","OCR errors, OCR post-processing, post OCR text correction","Optical character recognition software;Libraries;Feature extraction;Character recognition;Error analysis;Transducers;Statistical analysis","","49","","28","IEEE","8 Aug 2019","2-6 June 2019","2-6 June 2019","IEEE","IEEE Conferences"
"Improved Information Extraction by Leveraging Multi-Hypothesis OCR at Inference Time","A. Hemmer; N. Bartolo; M. Coustaty; J. -M. Ogier","Shift Technology, Paris, France; Shift Technology, Paris, France; L3i La Rochelle, La Rochelle, France; L3i La Rochelle, La Rochelle, France",2025 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),"23 Feb 2026","2025","","","7626","7634","Extracting information from documents is a critical task for many industrial use-cases. Errors in this process can arise from both the visual recognition and the semantic labeling processes. Traditional approaches to mitigate these errors involve collecting more data and training larger models, which can be resource-intensive. In this paper, we propose a backtracking, constrained decoding approach that aims to correct OCR reading and information extraction at the inference stage without retraining or using additional error correction models. By leveraging OCR confidence scores and top-k predictions, we explore multiple high-probability OCR readings until we reach a constraint-satisfying extraction. Our approach uses computational resources during inference to jointly solve both OCR and extraction issues. We demonstrate the effectiveness of our method on two datasets, showing consistent improvements in F1-score, compared to degradation in extraction performance when using a state-of-the-art post-OCR error correction model specifically fine-tuned on these datasets.","2473-9944","979-8-3315-8988-2","10.1109/ICCVW69036.2025.00785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11375717","Information Extraction;OCR;Transactional Documents;Post-OCR","Training;Visualization;Computational modeling;Optical character recognition;Semantics;Information retrieval;Data models;Error correction;Labeling;Data mining","","","","46","IEEE","23 Feb 2026","19-20 Oct. 2025","19-20 Oct. 2025","IEEE","IEEE Conferences"
"Real-Word Errors in Arabic Texts: A Better Algorithm for Detection and Correction","A. M. Azmi; M. N. Almutery; H. A. Aboalsamh","Department of Computer Science, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; National Center for Computer Technology and Applied Mathematics, King Abdulaziz City for Science and Technology, Riyadh, Saudi Arabia; Department of Computer Science, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia","IEEE/ACM Transactions on Audio, Speech, and Language Processing","10 Jun 2019","2019","27","8","1308","1320","Real-word (also known as semantic or context-sensitive) spelling error is a class of error that escapes the typical spell checker which relies on dictionary look-up. This kind of error occurs when a user types a correctly spelled word-by mistake-when another is intended, e.g., “I want a peace (piece) of cake.” Further, these errors commonly arise in text written by people with dyslexia. Real-word errors are harder to detect as we need to consider the context. In this paper, we propose a spell checker that detects and corrects real-word errors for the Arabic language. Our method avoids predefined confusion sets-a simple approach used by many works tackling this problem-which limits the list of words that can be detected and corrected. Thus, our system can detect and correct a larger set of real-word errors. For the detection phase, we employ word and stem n-gram (n = 1-3) language model along with machine learning, achieving a precision and recall of 83.5% and 99.2%, respectively. And for the correction phase we use n-gram, which results in an accuracy of 98%. Our scheme is robust, with an excellent performance even when the percentage of real-word error words is high. This makes the system suitable for handling errors in post OCR recognition of Arabic text.","2329-9304","","10.1109/TASLP.2019.2918404","Deanship of Scientific Research at King Saud University(grant numbers:RG-1439-067); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719963","Real-word errors;context-sensitive errors;semantic errors;statistical language model;arabic OCR;dyslexic text","Semantics;Speech processing;Testing;Dictionaries;Optical character recognition software;Syntactics;Training","","26","","60","IEEE","22 May 2019","Aug. 2019","","IEEE","IEEE Journals"
"ICDAR 2019 Competition on Post-OCR Text Correction","C. Rigaud; A. Doucet; M. Coustaty; J. -P. Moreux","Laboratory L3i, University of La Rochelle, France; Laboratory L3i, University of La Rochelle, France; Laboratory L3i, University of La Rochelle, La Rochelle, France; National-Library of France, Paris, France",2019 International Conference on Document Analysis and Recognition (ICDAR),"3 Feb 2020","2019","","","1588","1593","This paper describes the second round of the ICDAR 2019 competition on post-OCR text correction and presents the different methods submitted by the participants. OCR has been an active research field for over the past 30 years but results are still imperfect, especially for historical documents. The purpose of this competition is to compare and evaluate automatic approaches for correcting (denoising) OCR-ed texts. The present challenge consists of two tasks: 1) error detection and 2) error correction. An original dataset of 22M OCR-ed symbols along with an aligned ground truth was provided to the participants with 80% of the dataset dedicated to training and 20% to evaluation. Different sources were aggregated and contain newspapers, historical printed documents as well as manuscripts and shopping receipts, covering 10 European languages (Bulgarian, Czech, Dutch, English, Finish, French, German, Polish, Spanish and Slovak). Five teams submitted results, the error detection scores vary from 41 to 95% and the best error correction improvement is 44%. This competition, which counted 34 registrations, illustrates the strong interest of the community to improve OCR output, which is a key issue to any digitization process involving textual data.","2379-2140","978-1-7281-3014-9","10.1109/ICDAR.2019.00255","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8978127","text recognition;OCR","Optical character recognition software;Task analysis;Training;Dictionaries;Libraries;Error correction;Tools","","46","","8","IEEE","3 Feb 2020","20-25 Sept. 2019","20-25 Sept. 2019","IEEE","IEEE Conferences"
"Lexicographical-Based Order for Post-OCR Correction of Named Entities","A. Jean-Caurant; N. Tamani; V. Courboulay; J. -C. Burie","L3i Laboratory. University of La Rochelle, France; L3i Laboratory. University of La Rochelle, France; L3i Laboratory. University of La Rochelle, France; L3i Laboratory. University of La Rochelle, France",2017 14th IAPR International Conference on Document Analysis and Recognition (ICDAR),"29 Jan 2018","2017","01","","1192","1197","We are in the era of information access in which a huge amount of text is extracted from scanned documents and made available digitally to be used in search processes. However, old or poorly scanned documents suffer from bad recognition, which leads to not only imperfect Optical Character Recognition (OCR), but to bad indexation and unattainable information, as well. To cope with the aforementioned issues, we introduce in this paper a lexicographical-based approach for Post-OCR correction applied to named entities. By combining lexicographically a contextual similarity and an edit distance, the approach builds a graph connecting similar named entities, in order to automatically correct the corresponding OCR processed text. We evaluated our approach on a generated dataset. The first results obtained showed that, despite the high level of degradation of the text, the approach succeeded in correcting more than a third of named entities without the need for any external knowledge.","2379-2140","978-1-5386-3586-5","10.1109/ICDAR.2017.197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8270128","OCR Post-correction;Named Entities;Entity Resolution;Word Embeddings;Digital Humanities","Optical character recognition software;Character recognition;Tools;Data models;Google;Computational modeling;Context modeling","","5","","24","IEEE","29 Jan 2018","9-15 Nov. 2017","9-15 Nov. 2017","IEEE","IEEE Conferences"
"Geometry-Aware Post-OCR Processing and Configuration-Driven Key Information Extraction for Industrial Nameplates","S. Guo; Z. Li; L. Wu; J. Han; Y. Shi; Z. Fu","Software Product R&D Center, NARI Information & Communication Technology Co., Ltd., Nanjing, China; Software Product R&D Center, NARI Information & Communication Technology Co., Ltd., Nanjing, China; Software Product R&D Center, NARI Information & Communication Technology Co., Ltd., Nanjing, China; Software Product R&D Center, NARI Information & Communication Technology Co., Ltd., Nanjing, China; Software Product R&D Center, NARI Information & Communication Technology Co., Ltd., Nanjing, China; Software Product R&D Center, NARI Information & Communication Technology Co., Ltd., Nanjing, China",2026 9th International Conference on Computer Information Science and Application Technology (CISAT),"10 Sep 2026","2026","","","866","870","Industrial equipment nameplates provide structured metadata for asset management and compliance, yet general-purpose optical character recognition (OCR) still yields spatially fragmented text without field boundaries. Naive flattening or coordinate sorting often breaks reading order, splits labels, misaligns multi-column key-value pairs, and causes cross-field interference among adjacent electrical ratings. We present a two-stage inference-and-rules framework for geometry-aware post-OCR processing and configuration-driven key information extraction (KIE). Stage I performs OCR; Stage II reconstructs reading order through adaptive row clustering, fragment merging, column-gap splitting, row fusion, and keyword-prefix continuation, then maps each field to one of four operators—keyword, unit, special, or table—with unit-penalty gating and regex-based blind search. A JSON configuration covers 11 nameplate categories and 138 declared fields, supports hot reload, and is implemented in isomorphic Python and C++ layers. On 550 images (50 per category) and 6900 human-reviewed fields, accuracy improves from 64.80% (M1) to 88.90% (M4); per-category M4 accuracy spans 83.10%–98% with 2.51 ms mean Stage-II latency. Annotations are drafted with a vision-language model and verified line by line. The module complements the end-to-end nameplate recognition pipeline reported in our accepted ICBASE 2026 paper [1].","","979-8-3195-4374-5","10.1109/CISAT71030.2026.11682204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11682204","optical character recognition;key information extraction;layout analysis;rule-based system;industrial nameplate;geometric clustering","Optical character recognition;Labeling;Measurement units;Modeling;Printing;Accuracy;Geometry;Pipelines;Tagging;Layout","","","","15","IEEE","10 Sep 2026","3-5 July 2026","3-5 July 2026","IEEE","IEEE Conferences"
"myNRC-OCR: A Hybrid OCR Framework for Handwritten Myanmar NRCs Integrating YOLOv8, Tesseract LSTM, TrOCR, and Post-OCR Correction","Z. L. Htet; P. Linn; H. T. Naung; H. A. Kyaw; C. Pattiyanon; T. Jing","University of Information Technology, Yangon, Myanmar; University of Information Technology, Yangon, Myanmar; University of Information Technology, Yangon, Myanmar; Dinger, Yangon, Myanmar; CMKL University, Bangkok, Thailand; CMKL University, Bangkok, Thailand",2026 23rd International Joint Conference on Computer Science and Software Engineering (JCSSE),"10 Jul 2026","2026","","","255","260","Handwritten OCR for Myanmar script is hindered by complex orthography, character stacking, and limited annotated data. We propose myNRC-OCR, a hybrid framework for robust text extraction from Myanmar National Registration Cards (NRCs). The pipeline utilizes YOLOv8 for field localization, followed by a comparative recognition study between Tesseract LSTM and Transformer-based TrOCR. Analysis reveals a shift from segmentation-based failures in LSTMs to generative hallucinations in Transformers. To mitigate these, we introduce a 3-tier post-processing module using syllable tokenization and rule-based normalization to enforce linguistic constraints. Results show that while Tesseract is computationally efficient, the fine-tuned TrOCR model achieves a superior Character Error Rate (CER) of 2.46%, effectively managing high-variance handwriting. This work provides a scalable methodology for digitizing low-resource Southeast Asian scripts and establishes a foundation for future Myanmar linguistic research.","2642-6579","979-8-3315-8200-5","10.1109/JCSSE68839.2026.11597059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11597059","Optical Character Recognition;Myanmar Script;Deep Learning;KYC Automation;YOLOv8;TrOCR;Low-Resource Languages","Modeling;Optical character recognition;Pipelines;Training;Printing;Tuning;Error analysis;Transformers;Sequences;Sequential analysis","","","","11","IEEE","10 Jul 2026","24-27 June 2026","24-27 June 2026","IEEE","IEEE Conferences"
"Feedback Learning: Automating the Process of Correcting and Completing the Extracted Information","K. A. Hashmi; R. Bymana Ponnappa; S. S. Bukhari; M. Jenckel; A. Dengel","German Research Center for Artificial Intelligence, Kaiserslautern, Germany; German Research Center for Artificial Intelligence, Kaiserslautern, Germany; German Research Center for Artificial Intelligence, Kaiserslautern, Germany; German Research Center for Artificial Intelligence, Kaiserslautern, Germany; German Research Center for Artificial Intelligence, Kaiserslautern, Germany",2019 International Conference on Document Analysis and Recognition Workshops (ICDARW),"7 Nov 2019","2019","5","","116","121","In recent years, with the increasing usage of digital media and advancements in deep learning architectures, most of the paper-based documents have been revolutionized into digital versions. These advancements have helped state-of-the-art information extraction and digital mailroom technologies become progressively efficient. Even though many efficient post-Information Extraction (IE) error rectification methods have been introduced in the recent past to improve the quality of digitized documents. They are still imperfect and they demand improvements in the area of context-based error correction, specifically when we are dealing with the documents involving sensitive information such as invoices. This paper describes the self-correction approach based on the sequence to sequence Neural Machine Translation (NMT) as applied to rectify the incorrectness in the results of any information extraction approach such as Optical Character Recognition (OCR). We accomplished this approach by exploiting the concepts of sequence learning with the help of feedback provided during each cycle of training. Finally, we have compared state-of-the-art post-OCR error correction methods with our feedback learning approach. Our empirical results have outperformed state-of-the-art post-OCR error correction methods.","","978-1-7281-5054-3","10.1109/ICDARW.2019.40091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8893050","Document Understanding, Post IE Error Correction and Completeness, Sequence to Sequence Neural Machine Translation","Training;Data mining;Hospitals;Error correction;Optical character recognition software;Information retrieval;Insurance","","12","","17","IEEE","7 Nov 2019","22-25 Sept. 2019","22-25 Sept. 2019","IEEE","IEEE Conferences"
"Enhanced Text Extraction from Low-Quality Legacy Documents Using TrOCR Assisted by Line Detection","A. K. Meghana; H. Gupta; P. Dubey","Dept of CSE, Sharda University, Uttar Pradesh, India; Dept of CSE, Sharda University, Uttar Pradesh, India; Dept of CSE, Sharda University, Uttar Pradesh, India",2025 8th World Engineering Conference on Contemporary Technologies (WECON),"5 Mar 2026","2025","","","1","9","Legacy documents are mostly found in unstructured formats that make them difficult to retrieve digitally. For Microsoft’s TrOCR model, we used a domain-specific fine-tuning method paired with a line detection model using detectron2 framework and post OCR correction using SymSpell to improve the detection of low-resolution, faded, and degraded text. The data were collected from archived Indian government documents. Using mixed-precision training on constrained resources, the model was trained on our proprietary dataset, which was annotated line-wise. With a character error rate of 7.01 and a word error rate of 14.21 on the validation set, the model showed a very significant improvement over the base version. Our findings demonstrate the great efficacy of specifically pretrained OCR model fine-tuning for the large-scale restoration and digitization of important historical data.","","979-8-3315-9361-2","10.1109/WECON68556.2025.11414621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11414621","legacy data;TrOCR;detectron2;SymSpell;linewise annotations;unstructured data","Training;Error analysis;Annotations;Optical character recognition;Government;Digitization;Data models;Data mining","","","","20","IEEE","5 Mar 2026","10-11 Oct. 2025","10-11 Oct. 2025","IEEE","IEEE Conferences"
