string,title,year,citations,source_db,doi,abstract
Primaria,Smart Document Analysis and Validation System for Semi-Structured Data,2025,,IEEE,10.1109/icriset64803.2025.11252218,"The explosion of digital documentation has resulted in a massive amount of semi-structured and categorized documents produced every day by various organizations in the finance, health care, legal, and education domains. These documents are composed of various forms, invoices, certificates, receipts, identity proofs, and other such sources where there might be weak or no enforcement at all on the structural patterns of the documents. It takes a lot of time and resources to process this data manually, along with a considerable amount of error margins and inconsistencies, which makes data extraction and validation a tiresome and tedious task. In this paper, we present a powerful and intelligent framework based on the use of IDP (intelligent document processing) which uses the benefits of OCR (optical character recognition), NLP (natural language processing), and machine learning models to automate the entire pipeline of the document analysis, i.e., ingestion, preprocessing, data extraction, validation, and structured output generation. The framework is modular in nature and can be adapted to various types of documents and can handle various complex challenges such as noised images, variation in layout, fields overlapping, and multilingual documents. The OCR module makes use of various image preprocessing techniques such as binarization, deskewing, and removal of various noises which helps in extracting the text from various scanned documents and PDFs. The NLP techniques such as NER (named entity recognition) are then applied to the images to extract various data entities such as name, date, address, identification numbers, and others. Rule Based Matching and fuzzy logic (With respective algorithms like Levenshtein Distance, Jaccard Similarity, etc.) to compare the extracted data with templates or external databases. Document classification sub-system where convolutional neural networks (CNN) and transformer models like BERT are used to classify incoming document by type and apply respective extraction templates dynamically.All the validated information is stored in respective JSON or relational database format for further usage. A user interface has been built to provide real-time feedback, correction and interaction to train the system with fresh data through feedback loop. The system was trained on a dataset of Aadhaar cards, GATE scorecards and college admission forms. Evaluation metrics such as precision, recall, F1-score, processing time, etc. have been used to evaluate the performance of the system. Comparing the results with manual work and OCR only systems, improvements in processing time and accuracy have been observed. The system achieves 94.6% accuracy in field level extraction, 91.3% success in rule-based validation, and an average processing time of 3.5 seconds per document. By minimizing human involvement, minimizing human error, and increasing processing speed significantly, we have achieved a practical and scalable solution to semi-categorized data. This system can be considered as a basic system which can be extended to more advanced multilingual processing, mobile app, real-time verification with government databases, etc. Hence the architecture proposed in this paper not only satisfies the requirements of intelligent automation today, but also can be scaled in future as well, making it enterprise grade."
Primaria,FinanceGPT: Precision Financial Forecasting and Budgeting for Smarter Investment Strategies,2025,2,IEEE,10.1109/iccc64910.2025.11077182,"FinanceGPT is an AI-powered financial management tool designed to streamline expense tracking and assist users in making informed decisions on loans and term insurance. The system comprises two primary modules: Expense Tracker and Loan & Insurance Predictor.The Expense Tracker module processes user-submitted bills and receipts, employing Optical Character Recognition (OCR) to extract textual data. In cases where the original text is unavailable, alternative techniques retrieve relevant financial information. A BERT-based information retrieval model categorizes and groups expenses into predefined categories such as entertainment, utilities, and meals, enabling users to analyze their spending patterns effectively. Additionally, a threshold-based alert system notifies users when predefined spending limits are exceeded, helping them maintain financial discipline. All transaction data is stored in a database for long-term tracking and trend analysis.The Loan & Insurance Predictor module evaluates users' financial profiles to assess loan eligibility and recommend suitable term insurance coverage. By analyzing salary details, existing liabilities, and other financial credentials, the system computes the Fixed Obligations to Income Ratio (FOIR) to determine the user’s borrowing capacity and affordable EMI range. This information aids users in making informed borrowing decisions. Furthermore, the module generates personalized insurance recommendations based on the user’s financial liabilities, ensuring adequate coverage.By integrating AI-driven financial analytics, FinanceGPT enhances budget management, optimizes loan decisions, and provides tailored insurance insights, offering a comprehensive solution for personal finance management."
Primaria,SmartSpend: A Hybrid OCR-LLM Framework for Automated Expense Analysis and Semantic Categorization,2026,,IEEE,10.1109/icndsa68777.2026.11652222,"Effective financial management is essential for both individuals and organizations, however manual expense tracking remains time-consuming and prone to errors. While Optical Character Recognition (OCR) has enabled automated extraction of information from receipts, existing systems often struggle with unstructured layouts, varying formats, and low-quality images. To address these challenges this paper proposes SmartSpend a hybrid framework that integrates OCR with advanced language processing techniques for automated expense analysis and categorization. The system incorporates image preprocessing methods, including thresholding and skew correction, to enhance text extraction accuracy. The extracted data is then processed to generate structured outputs in a standardized format, enabling reliable identification of key entities such as amount, date, and merchant. Furthermore, the system performs intelligent categorization of expenses to provide meaningful financial insights. Experimental evaluation indicates improved extraction accuracy and better entity recognition compared to conventional OCR-based approaches. The proposed system offers a scalable and efficient solution for automated expense tracking, supporting improved financial decision-making in both personal and enterprise applications."
Primaria,Detection of Credit Card Fraud: An Analytical Accounting Perspective Using Classification Algorithms,2025,,IEEE,10.1109/ic-eeta66496.2025.11548301,"Detecting credit card fraud remains a significant challenge for financial institutions and auditors as digital payment volumes are increasing and fraud schemes are becoming increasingly complex. This paper reframes fraud detection through an analytical accounting lens by integrating ledger-aware features, multimodal evidence, and auditor-oriented explanations to improve triage and regulatory compliance. LedgerGuard-TransGNN is introduced: a Transformer + Graph Neural Network (GNN) hybrid with a Random Forest (RF) sensing frontend, hybrid feature selection, CIAE calibration, multimodal inputs (transactions, ledgers, Optical Character Recognition (OCR)), and blockchain provenance. Evaluation uses a combined IEEE-CIS and LedgerSim Indian corpus of about 2.1 million transactions. LedgerGuard-TransGNN achieved AUC = 0.97, F1 = 0.84, and MCC = 0.76, reduced false-alarm review costs to ₹1.2M, prevented an estimated ₹8.4M in fraud, and delivered 60% auditor time savings. Results demonstrate that embedding accounting artefacts into classification algorithms produces calibrated, auditable risk bins and measurable economic benefits for audit prioritisation and compliance. Policy-weighted Cost-Impact Aware Evaluation (CIAE) thresholds, auditor-feedback loops, and published LedgerSim configurations enable local adaptation and reproducibility. Operational pilots are recommended to validate long-term performance and human–machine interaction effects."
Primaria,Design and Implementation of an AI-Driven Personal Finance Platform with Secure Asynchronous Architecture,2026,,IEEE,10.1109/iciscn67954.2026.11566195,"Artificial Intelligence transforms personal finance through automated categorization and risk monitoring. This paper presents the design and integration of an AI-driven platform combining hybrid OCR-NLP extraction, large language model (LLM)-based zero-shot classification, asynchronous execution, and adaptive API security. The system employs structured prompt engineering with a vision-language model (Gemini 2.0 Flash) for zero-shot receipt understanding across 15 categories, while Z-score anomaly detection with adaptive thresholds monitors spending behavior. Experimental evaluation on a 365-day synthetic dataset demonstrates 94.3 % classification accuracy (vs. $\mathbf{6 8. 7 \%}$ keyword baseline), sub-3-second OCR latency, and supervised fraud baselines reaching ROC-AUC up to 0.98. The primary contribution lies in the integrated system architecture rather than novel algorithm development, highlighting the effectiveness of combining LLM-driven analytics with secure, distributed web architectures for modern financial applications."
Primaria,GoalCoin: AI-Driven Personal Budget Manager,2025,,IEEE,10.1109/slaai-icai68534.2025.11318459,"This paper details the design of GoalCoin, a cuttingedge mobile application that transforms personal finance management from a passive activity into an intelligent, proactive process. Addressing the complexities of modern financial tracking, Goal Coin empowers users with personalized tools and insightful analytics. Its approach integrates manual entry, automated receipt scanning using optical character recognition via Amazon Web Services Textract, and voice commands processed by a fine-tuned automatic speech recognition model. The system intelligently processes this data in real-time, leveraging a sophisticated backend and an artificial intelligence engine that performs automated expense categorization through the Gemini Large Language Model, predictive forecasting with the Prophet model, and user clustering using K-Means algorithms. The conversational financial assistant, built on a multi-agent architecture orchestrated by LangGraph, understands natural language queries and provides spoken responses synthesized by a finetuned variational inference text-to-speech model. The design emphasizes a user-centric interface and a robust, scalable microservices architecture. Implementation has focused on translating these design specifications into functional features like personalized budgets, detailed expense views, and proactive notification systems."
Primaria,HS Code and Description Analyzer with RAG,2026,,IEEE,10.1109/icsft67370.2026.11566550,"To automate the task of Harmonized System (HS) classification still remains a critical challenge in international trade documentation due to inconsistencies in product descriptions, missing HS codes, and human interpretation variability. This paper proposes an intelligent hybrid system that performs end-to-end HS code classification, validation, and recommendation using Optical Character Recognition (OCR), semantic vector search, a Retrieval-Augmented Generation (RAG) framework, and a Large Language Model (LLM). The system extracts text from import/export invoices, detects or infers HS codes using vector embeddings stored in ChromaDB, and validates the result using structured trade knowledge including country, flow (import/export), and duty values. A second semantic query engine enables natural-language trade inquiries such as “Export horses from India,” returning HS code, duty, and classification category. Experimental evaluation demonstrates high semantic retrieval accuracy and strong real-world applicability. This work contributes a scalable, data-driven approach for automated trade compliance and product classification with average accuracy of 91% that includes the percentage of Top-1 and Top-3 Search."
Primaria,Deep Learning Methods of Unstructured Data Integration and Analysis to Optimize Decision Making and Database,2025,,IEEE,10.1109/punecon67554.2025.11378885,"The integration of unstructured information in a Relational Database Management System (RDBMS). Companies that want to exploit the use of unstructured data in their decisionmaking processes find it a great challenge to exploit them due to the large amounts and forms that such form of data takes. This study presents a novel integration framework combining Optical Character Recognition (OCR) with advanced deep learning models-specifically Recurrent Neural Networks (RNNs) and Long Short-Term Memory (LSTM)-to facilitate the incorporation of unstructured data into Relational Database Management Systems (RDBMS). Unstructured data, due to its diverse formats and volume, poses challenges for traditional RDBMS, which are optimized for structured inputs. To address these limitations, this research develops a classification-driven model capable of automatically extracting and structuring data from scanned documents such as receipts and invoices. The hybrid CRNN-BiLSTM architecture significantly enhances recognition accuracy, increasing performance from 83.2 % to 94.6 %, with corresponding gains in precision, recall, and F1-Score. The model was validated through a rigorous data science methodology encompassing data collection, model training, testing, and evaluation. These results demonstrate the model's effectiveness in transforming unstructured documents into structured formats, enabling improved decision-making and database performance. The study encourages future exploration into additional deep learning enhancements, model scalability, and cross-domain applicability."
Primaria,Navigating the Future of Document Handling: A Comprehensive Survey on Intelligent Document Processing,2026,0,Scopus,10.1007/978-981-96-7508-1_35,"Intelligent Document Processing (IDP) automates extraction and categorization of information from unstructured and semi-structured documents. While standard optical character recognition (OCR) computerizes the parsing of printed and scanned documents, so-called parsing tools like PyPDF2 and React-PDF take on the extraction of text from digital files. Emerging developments in IDP apply large language models (LLMs) to enhance natural language processing (NLP) to ensure the efficient interpretation, classification, and analysis of the extracted data. This paper provides a survey of IDP technologies with possible applications in financial and retail sectors-invoice processing, purchase order matching, and fraud detection. It also focuses on accuracy, scalability, and outlook of LLM-based IDP on the cloud, toward next-generation automation in more detail. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026."
Primaria,A Novel Natural Language Processing Strategy to Improve Digital Accounting Classification Approach for Supplier Invoices ERP Transaction Process,2023,6,Scopus,10.1007/978-3-031-36805-9_38,"Natural language processing (NLP) is a developing field that offers increasing potential to simplify accounting-related tasks. This research studies a novel NLP approach to classify invoice categories based on the invoice text description. The preprocessing steps can be divided into three parts, namely text cleaning, semantic enrichment using the labels as an information source, and text augmentation. A total of 12 different training datasets were prepared based on the raw invoice data, each reflecting an output of a unique combination of the preprocessing steps. Each training dataset was then sent for modelling with one traditional classifier and two deep learning classifiers, namely Linear Support Vector Machine (LSVM), Bi-directional Long Short-Term Memory (Bi-LSTM) and Bidirectional Encoder Representations from Transformers (BERT). Overall, the best approach yielded an improvement of up to 6.7 percentage points (ppts) for accuracy and 20 ppts for macro F1 score. Noise and overfitting were successfully reduced when only English text was retained for modelling. Using label data to semantically enrich invoice text descriptions improved the model’s generalizability. The lexical synonym substitution approach proved more effective in preserving semantics compared to the word embedding approach for short text augmentations. BERT outperformed Bi-LSTM and LSVM and performance improved further with an increase in training data, confirming the superiority of deep learning classifier performance compared to traditional classifiers. Multi-class balancing by lexical-based data augmentation improved the model generalizability, evidenced by a high macro F1 score. This novel discovery contributes to the area of automating invoice text classification, which up until today has remained largely a manual task in practice. The classification approach is well suited to be integrated with other artificial intelligence solutions like Optical Character Recognition (OCR) and Robotic Process Automation (RPA) to form a completely automated invoice processing system. Since invoice classification is a repetitive and non-value-added process, the combination of this novel text classification method with RPA can reduce overhead costs by approximately 90%. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG."
Primaria,Smart Tax Filing Assistant: A Web-Based AI Tool for MSMEs,2026,0,Scopus,,"Micro, Small, and Medium Enterprises (MSMEs) frequently encounter excessive compliance challenges stemming from disjointed recordkeeping, changing tax laws, and restricted access to professional expertise. This study introduces a Smart Tax Filing Assistant, a web-based AI solution aimed at automating document ingestion, tax entity extraction, and compliance verification, incorporating human oversight in the review process. The system architecture combines OCR-based preprocessing, transformer-based Named Entity Recognition (NER), classification for expense categories, and a deterministic rule engine that connects to a machine-readable tax knowledge base. We used a dataset of 10,200 fake and anonymous financial documents, such as invoices, receipts, and bank statements, to do the evaluation. The results showed that extraction F1 scores were over 92% for important fields and that the average processing time per document was 72% shorter than manual filing. Compliance Confidence Scores (CCS) made reliability even better by combining model probability, rule coverage, and checks for consistency. The results show that using explainable AI with secure data sharing makes it much easier, more accurate, and more open for MSMEs to pay their taxes. This framework provides a scalable model for AI-enabled tax administration, with the potential for wider implementation in emerging economies. © 2026, Anhalt University of Applied Sciences. All rights reserved."
Primaria,Safe Invoice Data Extraction: FPR-Constrained Validation with VLM Denoising,2026,0,Scopus,10.1145/3820755.3821480,"Automating invoice processing in enterprise settings requires more than high extraction accuracy: it demands a reliable mechanism to decide when an extraction is trustworthy enough to bypass human review. While modern Vision-Language Models (VLMs) achieve state-of-the-art results on document benchmarks, their integration into production pipelines remains hindered by the lack of principled methods to guarantee a bounded False Positive Rate (FPR). In financial workflows, an undetected extraction error (False Positive in production) can trigger irreversible erroneous payments, whereas a False Negative only incurs a reversible human review cost. In this paper, we formalize autonomous invoice validation as a selective classification problem under a field-level FPR constraint. We propose a multi-stage architecture that combines Optical Character Recognition (OCR) and Natural Language Processing (NLP) for field extraction, rule-based rejection, VLM-based correction, and a tabular Machine Learning (ML) scoring module. A key finding is that the VLM's most significant contribution is as an extraction denoiser: by correcting systematic OCR-NLP errors on fields not guarded by business rules, it significantly increases coverage (defined as documents not requiring human review) under a strict 1% field-level FPR target, while also bringing the FPR from above the target to below 1%. Furthermore, we apply a geometric safety layer, providing a tunable ""safety knob""that ensures robust FPR guarantees across data folds at a quantifiable coverage cost. Evaluated on 11,253 real-world enterprise invoices, our system achieves 73% auto-validation coverage at a 0.96% field-level FPR, outperforming confidence-based baselines. Our results demonstrate that safe document automation requires not only high extraction accuracy but equally principled risk-constrained validation and the mitigation of label noise in production data.  © 2026 Copyright held by the owner/author(s)."
Primaria,Extracting Key-Value Pairs in Business Documents,2023,0,Scopus,10.1007/978-3-031-41501-2_3,"Key-value extraction is a challenging task in document AI, particularly in business documents such as invoices. Accurately extracting key-value pairs from such documents is crucial for downstream tasks like accounting, analytics, and decision-making. In this paper, we propose a method for grouping and linking key-value pairs in business documents using a combination of rule-based methods and pretrained transformers. Our method comprises three steps: grouping words into word groups using rule-based methods that rely on layout information obtained via OCR, classifying the groups of words into key, value, or other using a pretrained BERT multilingual model, and linking the predicted key-value pairs based on their relative positions in the document, leveraging the layout information. Furthermore, we present a comparative study of our approach against state-of-the-art methods for key-value extraction in business documents. Our approach is designed to be adaptable and requires minimal semantic and language-specific knowledge, making it suitable for a wide range of business documents. This flexibility allows our method to be easily applied to real-world scenarios, where documents may vary in layout and language. Additionally, our method is computationally efficient, allowing for fast processing of large volumes of documents. Our results demonstrate the effectiveness of combining rule-based methods with pretrained transformers for key-value extraction in business documents, providing a strong foundation for developing more accurate and robust methods in the future. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG."
Primaria,AgroExpense-OCR: Vision Transformer-Based Optical Character Recognition for Agricultural Receipt Digitization,2026,0,Scopus,10.12720/jait.17.5.857-872,"This study concentrates on the development of AgroExpense-OCR, an Optical Character Recognition (OCR) system for agricultural expense receipts, employing the Vision Transformer (ViT) architecture to improve the recognition of both printed and handwritten text. Utilizing a dataset of over 15,000 systematically prepared items, experimental results demonstrate that FastViT achieves the fastest convergence and lowest Character Error Rate (CER), despite transient instability during handwritten sample training. The best character-level performance is achieved by FastViT, with a test loss of 0.03144 and Certificate of Analysis (CER) of 0.0086 using greedy decoding and 0.0091 with beam search. Evaluation results demonstrated superior performance, with printed receipts attaining an accuracy of 96.80% and handwritten receipts 92.40%, surpassing traditional CNN-RNN methodologies. The AgroExpense-OCR application was created for both mobile and web platforms, including features such as receipt scanning, automatic expense categorization, cost analysis, and budget notifications. User satisfaction assessments indicated a high level of acceptance, thereby confirming the practical applicability of the system. This research makes a significant contribution to the advancement of digital agriculture and establishes a foundation for integration with future smart farm management systems. © 2026 by the authors."
Primaria,Structured Data Extraction from OCR Invoices: A Comparative Analysis of Fine-Tuning Paradigms,2026,0,Scopus,10.1007/978-3-032-18716-1_15,"Extracting information from invoices proves to be a difficult task. The problem exists because it serves as a fundamental element for document comprehension. The economic system together with healthcare services and governmental operations receive influence from it. The main solution for this task now consists of pre-trained language models (PLMS) which include large language models (LLMS) that operate on deep learning systems. The wide range of available methods produces a difficult environment which researchers and practitioners must navigate. The research analyzes eight fine-tuning methods through their architectural design and task formulation and computational efficiency to create a complete comparison. The research traces the development of token classification models from BERT which used OCR output to modern multimodal learning systems including LayoutLMv2 and Donut and instruction-tuned LLMs. The finding demonstrate that multimodal architectures achieve higher performance than text-only models when working with intricate layout structures. The implementation of parameter-efficient fine-tuning (PEFT) methods enables performance maintenance while reducing computational expenses. The selection of extraction strategies will be guided by our structured decision framework which bases its choices on operational constraints and performance requirements © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026."
Primaria,Research on Intelligent Image Feature Accurate Recognition Technology,2025,0,Scopus,10.1145/3759928.3759943,"This study addresses the challenges in medical insurance claims, such as inconsistent image quality, diverse formats, and low recognition efficiency of medical documents. It proposes a solution based on intelligent image feature recognition technology. The study focuses on the core methodology, key technical indicators, and practical application outcomes of this technology. By designing four components—image preprocessing, document classification, OCR text recognition, and structural analysis—and utilizing deep learning algorithms and multimodal technologies, the system automates the extraction and verification of key texts, table structures, and anti-counterfeiting features of seals in medical invoices and diagnostic certificates. Experimental results show that This technology can support the scenarios of rapid settlement of outpatient expenses, intelligent audit of hospitalization expenses, and immediate settlement of medical treatment across regions, promote the transformation of medical insurance services to intelligence and precision, and provide key technical support for the construction of efficient medical insurance ecology. © 2025 Copyright held by the owner/author(s)"
Primaria,Enhancing Invoice Recognition with LLM Embeddings in GAT Networks,2025,0,Scopus,,"We propose a novel approach for invoice recognition by integrating Large Language Model Embeddings as semantic features into the nodes of a Graph Attention Neural Network. Both the language model and the graph structure provide rich contextual information for our model to enhance the classification of OCR tokens from invoice documents. The experimental results demonstrate improvements in the classification performance on our datasets by over 3%, highlighting the effectiveness of our multiple attention mechanism. The approach is transferable to all kinds of service systems that process visually rich documents. Copyright © 2025 by Association for Information Systems (AIS). All rights reserved."
